feature,importance
score_risque,0.1804348928656336
ratio_engagement,0.10977244992442232
ratio_absence_connexion,0.10304884860403535
moyenne_sem1,0.09195216476512011
connexions_lms,0.08612556357672335
moyenne_sem2,0.06506673023786105
taux_presence,0.06095254636291539
note_examen,0.054591761052297155
devoirs_rendus,0.04373713148613012
trend_notes,0.041982369924675834
retards,0.040186007826817825
participation,0.034810809118643954
absences,0.03374193996740596
age,0.0246711001396881
filiere,0.00983044264366212
sexe,0.00808380008985131
bourse,0.006091667656139268
frais_payes,0.004919773757977028
