age,sexe,filiere,bourse,frais_payes,moyenne_sem1,moyenne_sem2,note_examen,absences,retards,connexions_lms,devoirs_rendus,participation,taux_presence,abandon
19,F,telecom,non,oui,9.5,10.6,3.7,11,9,29,8,5,49,Inscrit
24,M,telecom,non,oui,14.6,14.8,16.6,4,3,35,8,9,94,Diplômé
24,M,info,non,non,6.0,3.1,2.0,13,12,7,2,0,48,Décrochage
24,M,info,oui,oui,14.0,11.9,11.5,9,7,24,4,8,59,Diplômé
24,F,mtic,oui,oui,8.9,7.3,7.7,10,8,17,3,5,45,Inscrit
18,F,mtic,oui,non,5.1,7.0,6.4,13,11,2,2,1,38,Inscrit
22,M,telecom,non,oui,13.2,13.8,16.9,6,6,25,6,10,90,Diplômé
23,M,info,non,non,13.2,11.3,14.1,13,6,27,5,5,66,Inscrit
21,F,info,oui,oui,3.1,2.7,7.3,19,10,4,1,2,37,Décrochage
20,F,mtic,non,non,9.3,7.8,8.1,13,12,35,7,4,48,Inscrit
23,F,mtic,non,oui,9.1,3.2,5.2,15,8,8,3,2,45,Décrochage
20,F,mtic,non,oui,11.0,11.5,11.1,7,8,24,7,6,77,Diplômé
20,F,mtic,non,oui,9.1,6.9,5.4,16,8,15,3,1,39,Décrochage
23,M,mtic,non,oui,7.9,9.6,6.6,13,7,12,3,4,56,Décrochage
22,M,mtic,oui,oui,7.0,5.7,6.5,10,11,9,3,1,33,Décrochage
18,M,info,oui,oui,15.5,14.9,17.6,8,0,25,7,8,85,Diplômé
22,M,info,oui,oui,9.4,4.9,5.5,16,8,3,2,3,46,Inscrit
23,F,mtic,non,non,13.5,14.3,13.3,4,5,36,10,7,79,Diplômé
21,F,info,non,oui,10.1,11.1,11.9,7,5,19,6,4,72,Diplômé
21,M,telecom,oui,non,8.0,9.6,10.9,11,8,21,4,3,61,Inscrit
23,F,info,non,non,12.4,16.0,11.0,6,2,28,7,9,69,Diplômé
18,F,info,non,oui,12.2,10.2,12.6,12,7,22,4,5,62,Diplômé
19,M,mtic,non,oui,12.4,13.0,12.5,6,6,14,3,5,64,Diplômé
24,F,info,non,non,12.9,12.0,13.3,2,5,29,9,7,68,Inscrit
22,M,telecom,oui,oui,9.8,10.1,13.3,6,6,24,8,8,64,Inscrit
19,M,telecom,non,oui,10.5,9.3,9.8,7,6,28,8,4,62,Inscrit
21,F,info,non,oui,16.2,12.8,18.5,4,2,23,8,8,93,Diplômé
21,M,info,non,non,8.0,5.8,7.0,12,9,5,4,3,60,Inscrit
18,F,info,oui,oui,7.0,8.1,3.9,11,11,3,3,3,58,Décrochage
18,M,mtic,non,non,12.0,12.0,8.7,8,6,18,5,5,61,Inscrit
22,M,mtic,oui,oui,6.5,5.4,5.2,15,13,8,3,3,39,Décrochage
18,F,telecom,non,non,17.6,13.3,14.7,4,3,37,7,7,84,Diplômé
20,F,mtic,oui,oui,16.0,15.4,12.8,7,5,29,10,9,79,Diplômé
24,F,info,oui,non,13.0,14.1,9.7,6,6,26,3,8,75,Diplômé
19,F,mtic,oui,oui,14.9,17.4,17.7,4,3,26,7,5,83,Diplômé
18,M,info,non,non,8.3,8.1,6.8,14,11,3,4,1,46,Décrochage
20,F,info,non,non,9.0,12.4,10.7,9,8,14,5,4,62,Décrochage
20,M,telecom,non,oui,9.7,11.0,11.9,10,9,19,6,7,66,Inscrit
22,M,mtic,oui,oui,6.1,9.9,5.3,8,9,7,4,2,28,Décrochage
24,M,mtic,oui,non,8.5,9.1,9.3,14,7,22,4,3,39,Décrochage
22,F,telecom,oui,non,12.9,18.5,12.5,3,4,34,10,8,86,Diplômé
22,M,info,non,oui,12.3,13.3,11.7,5,3,28,7,6,85,Inscrit
23,F,mtic,non,non,10.9,8.0,10.4,11,4,26,7,3,58,Inscrit
21,M,info,non,non,12.9,15.8,10.9,4,5,27,7,7,86,Diplômé
23,F,mtic,non,oui,13.5,11.5,14.1,8,5,26,9,6,72,Inscrit
21,F,mtic,non,non,6.6,4.9,4.7,14,14,5,2,0,36,Décrochage
21,M,telecom,non,oui,16.3,12.9,13.7,4,3,30,7,9,82,Diplômé
20,M,telecom,non,oui,3.8,5.7,4.8,17,11,25,8,2,36,Inscrit
18,M,mtic,non,oui,9.0,9.5,9.9,13,12,26,4,5,42,Décrochage
22,M,mtic,non,oui,15.3,17.5,15.0,6,2,29,7,7,98,Diplômé
21,F,mtic,oui,oui,14.1,9.8,12.9,6,7,30,7,7,81,Diplômé
19,M,info,non,non,10.3,6.2,5.0,14,11,7,4,2,43,Décrochage
24,F,mtic,non,oui,5.9,5.5,8.9,15,8,6,6,3,59,Décrochage
23,M,mtic,oui,non,18.2,9.4,18.5,4,0,30,10,10,94,Diplômé
19,F,info,non,non,12.7,6.1,10.0,9,7,29,5,7,74,Diplômé
23,F,info,non,non,15.1,14.7,13.9,8,4,30,7,9,66,Décrochage
20,M,info,non,non,12.0,11.6,11.6,9,4,19,8,7,86,Diplômé
21,F,mtic,non,non,11.8,14.2,14.8,2,3,28,8,7,84,Diplômé
21,M,mtic,oui,oui,13.4,13.4,7.5,10,8,17,3,6,62,Inscrit
23,F,telecom,oui,non,12.3,10.7,9.2,8,2,21,7,7,75,Diplômé
22,F,info,non,oui,8.0,9.2,9.8,8,9,20,6,4,52,Inscrit
